symbol,open,high,low,close,volume,ts
ARBUSDT,0.5573,0.5662,0.5573,0.5623,450793.3112,2024-10-17 00:00:00+00:00
ARBUSDT,0.5623,0.563,0.5469,0.5517,624474.2593,2024-10-17 04:00:00+00:00
ARBUSDT,0.5517,0.5524,0.5411,0.5434,872582.4807,2024-10-17 08:00:00+00:00
ARBUSDT,0.5434,0.557,0.5423,0.5562,997448.5565,2024-10-17 12:00:00+00:00
ARBUSDT,0.5562,0.5571,0.5409,0.5461,787730.3629,2024-10-17 16:00:00+00:00
ARBUSDT,0.5461,0.5512,0.5459,0.5469,319370.5226,2024-10-17 20:00:00+00:00
ARBUSDT,0.5469,0.559,0.5436,0.5497,577820.0413,2024-10-18 00:00:00+00:00
ARBUSDT,0.5497,0.5619,0.5496,0.5611,452626.1841,2024-10-18 04:00:00+00:00
ARBUSDT,0.5611,0.5622,0.5571,0.5579,590568.441,2024-10-18 08:00:00+00:00
ARBUSDT,0.5579,0.5674,0.5543,0.5649,883644.4382,2024-10-18 12:00:00+00:00
ARBUSDT,0.5649,0.5722,0.5615,0.5652,635200.4721,2024-10-18 16:00:00+00:00
ARBUSDT,0.5652,0.5652,0.5595,0.5635,309137.4353,2024-10-18 20:00:00+00:00
ARBUSDT,0.5635,0.5722,0.5615,0.5672,360957.2774,2024-10-19 00:00:00+00:00
ARBUSDT,0.5672,0.5712,0.5647,0.5671,429098.9332,2024-10-19 04:00:00+00:00
ARBUSDT,0.5671,0.5691,0.5581,0.5582,416133.2276,2024-10-19 08:00:00+00:00
ARBUSDT,0.5582,0.5631,0.5561,0.5605,538525.9653,2024-10-19 12:00:00+00:00
ARBUSDT,0.5605,0.5632,0.558,0.5611,490462.9096,2024-10-19 16:00:00+00:00
ARBUSDT,0.5611,0.5697,0.5607,0.5662,420129.9049,2024-10-19 20:00:00+00:00
ARBUSDT,0.5662,0.571,0.561,0.564,366390.5146,2024-10-20 00:00:00+00:00
ARBUSDT,0.564,0.5768,0.5628,0.5731,855995.2712,2024-10-20 04:00:00+00:00
ARBUSDT,0.5731,0.5773,0.5716,0.5772,450586.5867,2024-10-20 08:00:00+00:00
ARBUSDT,0.5772,0.6196,0.5753,0.6016,4387166.8527,2024-10-20 12:00:00+00:00
ARBUSDT,0.6016,0.6043,0.5953,0.6039,1104453.334,2024-10-20 16:00:00+00:00
ARBUSDT,0.6039,0.615,0.6024,0.613,1233322.2248,2024-10-20 20:00:00+00:00
ARBUSDT,0.613,0.617,0.6019,0.6056,953526.1761,2024-10-21 00:00:00+00:00
ARBUSDT,0.6056,0.6112,0.6008,0.6008,752563.1922,2024-10-21 04:00:00+00:00
ARBUSDT,0.6008,0.6037,0.5906,0.5953,952234.5973,2024-10-21 08:00:00+00:00
ARBUSDT,0.5953,0.598,0.5819,0.5893,1601560.2836,2024-10-21 12:00:00+00:00
ARBUSDT,0.5893,0.5949,0.5802,0.5924,959941.0586,2024-10-21 16:00:00+00:00
ARBUSDT,0.5924,0.5935,0.5875,0.5881,338084.0529,2024-10-21 20:00:00+00:00
ARBUSDT,0.5881,0.5975,0.5804,0.5962,884051.4529,2024-10-22 00:00:00+00:00
ARBUSDT,0.5962,0.6006,0.5929,0.5934,428713.8316,2024-10-22 04:00:00+00:00
ARBUSDT,0.5934,0.5961,0.5817,0.5868,827667.6146,2024-10-22 08:00:00+00:00
ARBUSDT,0.5868,0.5895,0.5728,0.579,1364086.1781,2024-10-22 12:00:00+00:00
ARBUSDT,0.579,0.5821,0.573,0.5794,543284.9508,2024-10-22 16:00:00+00:00
ARBUSDT,0.5794,0.5849,0.5779,0.5799,419419.9694,2024-10-22 20:00:00+00:00
ARBUSDT,0.5799,0.5815,0.5703,0.5755,522075.8213,2024-10-23 00:00:00+00:00
ARBUSDT,0.5755,0.5808,0.5706,0.5719,767367.0536,2024-10-23 04:00:00+00:00
ARBUSDT,0.5719,0.5743,0.5612,0.5643,1020511.454,2024-10-23 08:00:00+00:00
ARBUSDT,0.5643,0.5696,0.5532,0.5564,1169390.3233,2024-10-23 12:00:00+00:00
ARBUSDT,0.5564,0.5576,0.543,0.5559,1510138.7757,2024-10-23 16:00:00+00:00
ARBUSDT,0.5559,0.5609,0.5544,0.5597,585999.8882,2024-10-23 20:00:00+00:00
ARBUSDT,0.5597,0.5678,0.556,0.5644,596845.2158,2024-10-24 00:00:00+00:00
ARBUSDT,0.5644,0.5686,0.5598,0.5602,528981.894,2024-10-24 04:00:00+00:00
ARBUSDT,0.5602,0.5629,0.5518,0.5572,701920.2819,2024-10-24 08:00:00+00:00
ARBUSDT,0.5572,0.5638,0.5557,0.5613,767825.7265,2024-10-24 12:00:00+00:00
ARBUSDT,0.5613,0.5658,0.5582,0.5653,505768.6963,2024-10-24 16:00:00+00:00
ARBUSDT,0.5653,0.5695,0.5595,0.5611,417903.6496,2024-10-24 20:00:00+00:00
ARBUSDT,0.5611,0.5624,0.5516,0.5545,406665.6412,2024-10-25 00:00:00+00:00
ARBUSDT,0.5545,0.555,0.5413,0.5447,705438.8985,2024-10-25 04:00:00+00:00
ARBUSDT,0.5447,0.5561,0.5418,0.5535,1198975.6931,2024-10-25 08:00:00+00:00
ARBUSDT,0.5535,0.5582,0.5474,0.5522,960382.4552,2024-10-25 12:00:00+00:00
ARBUSDT,0.5522,0.5525,0.5267,0.5367,2355206.6324,2024-10-25 16:00:00+00:00
ARBUSDT,0.5367,0.541,0.4837,0.5071,3438073.2184,2024-10-25 20:00:00+00:00
ARBUSDT,0.5071,0.514,0.497,0.5133,1784740.7266,2024-10-26 00:00:00+00:00
ARBUSDT,0.5133,0.5181,0.512,0.5128,707005.0436,2024-10-26 04:00:00+00:00
ARBUSDT,0.5128,0.5173,0.5116,0.5155,506614.3393,2024-10-26 08:00:00+00:00
ARBUSDT,0.5155,0.5171,0.4982,0.5042,1017941.2469,2024-10-26 12:00:00+00:00
ARBUSDT,0.5042,0.5155,0.5032,0.5147,482427.195,2024-10-26 16:00:00+00:00
ARBUSDT,0.5147,0.5196,0.5132,0.5144,335761.2924,2024-10-26 20:00:00+00:00
ARBUSDT,0.5144,0.5168,0.5113,0.5167,257427.3269,2024-10-27 00:00:00+00:00
ARBUSDT,0.5167,0.5173,0.5131,0.5139,348110.9096,2024-10-27 04:00:00+00:00
ARBUSDT,0.5139,0.5158,0.5066,0.5079,438548.2617,2024-10-27 08:00:00+00:00
ARBUSDT,0.5079,0.5177,0.5076,0.5165,421340.716,2024-10-27 12:00:00+00:00
ARBUSDT,0.5165,0.519,0.5119,0.5142,310219.8398,2024-10-27 16:00:00+00:00
ARBUSDT,0.5142,0.5248,0.513,0.5196,533279.2786,2024-10-27 20:00:00+00:00
ARBUSDT,0.5196,0.5214,0.5069,0.5082,348596.4103,2024-10-28 00:00:00+00:00
ARBUSDT,0.5082,0.5217,0.5039,0.5178,940205.5893,2024-10-28 04:00:00+00:00
ARBUSDT,0.5178,0.5241,0.5171,0.5216,748124.308,2024-10-28 08:00:00+00:00
ARBUSDT,0.5216,0.5227,0.5086,0.5104,1321843.1924,2024-10-28 12:00:00+00:00
ARBUSDT,0.5104,0.516,0.5027,0.5145,1085846.4747,2024-10-28 16:00:00+00:00
ARBUSDT,0.5145,0.5297,0.5142,0.5225,833196.9737,2024-10-28 20:00:00+00:00
ARBUSDT,0.5225,0.5358,0.521,0.5326,848761.9893,2024-10-29 00:00:00+00:00
ARBUSDT,0.5326,0.5359,0.5287,0.5304,485574.7636,2024-10-29 04:00:00+00:00
ARBUSDT,0.5304,0.5377,0.5298,0.5373,711516.7253,2024-10-29 08:00:00+00:00
ARBUSDT,0.5373,0.5409,0.5322,0.5409,1261014.87,2024-10-29 12:00:00+00:00
ARBUSDT,0.5409,0.5507,0.5396,0.5413,1218958.0653,2024-10-29 16:00:00+00:00
ARBUSDT,0.5413,0.5485,0.5373,0.5475,490971.159,2024-10-29 20:00:00+00:00
ARBUSDT,0.5475,0.5483,0.5391,0.5468,542591.9971,2024-10-30 00:00:00+00:00
ARBUSDT,0.5468,0.5533,0.5421,0.5504,709712.7518,2024-10-30 04:00:00+00:00
ARBUSDT,0.5504,0.5568,0.5428,0.5431,1601407.4319,2024-10-30 08:00:00+00:00
ARBUSDT,0.5431,0.57,0.5405,0.5651,2986220.5383,2024-10-30 12:00:00+00:00
ARBUSDT,0.5651,0.569,0.5574,0.5587,974955.4368,2024-10-30 16:00:00+00:00
ARBUSDT,0.5587,0.5637,0.5544,0.5573,795288.8802,2024-10-30 20:00:00+00:00
ARBUSDT,0.5573,0.5612,0.5491,0.5511,653049.2184,2024-10-31 00:00:00+00:00
ARBUSDT,0.5511,0.5535,0.5434,0.5486,512567.5374,2024-10-31 04:00:00+00:00
ARBUSDT,0.5486,0.5487,0.5404,0.5423,654178.7324,2024-10-31 08:00:00+00:00
ARBUSDT,0.5423,0.5433,0.5285,0.5346,1212213.4731,2024-10-31 12:00:00+00:00
ARBUSDT,0.5346,0.5346,0.5194,0.5201,1052020.6253,2024-10-31 16:00:00+00:00
ARBUSDT,0.5201,0.5295,0.5193,0.527,532113.739,2024-10-31 20:00:00+00:00
ARBUSDT,0.527,0.5312,0.5179,0.5305,720518.8447,2024-11-01 00:00:00+00:00
ARBUSDT,0.5305,0.5336,0.5193,0.5243,547155.9665,2024-11-01 04:00:00+00:00
ARBUSDT,0.5243,0.5346,0.5227,0.5302,638164.276,2024-11-01 08:00:00+00:00
ARBUSDT,0.5302,0.5447,0.517,0.5235,1639356.9921,2024-11-01 12:00:00+00:00
ARBUSDT,0.5235,0.5337,0.5226,0.5251,1111756.0777,2024-11-01 16:00:00+00:00
ARBUSDT,0.5251,0.5254,0.5108,0.5195,501524.6617,2024-11-01 20:00:00+00:00
ARBUSDT,0.5195,0.5255,0.5194,0.5205,188188.585,2024-11-02 00:00:00+00:00
ARBUSDT,0.5205,0.5219,0.5154,0.5199,342075.2246,2024-11-02 04:00:00+00:00
ARBUSDT,0.5199,0.5208,0.5164,0.5168,305661.2937,2024-11-02 08:00:00+00:00
ARBUSDT,0.5168,0.518,0.5066,0.5097,705274.061,2024-11-02 12:00:00+00:00
ARBUSDT,0.5097,0.513,0.5005,0.5047,472580.8775,2024-11-02 16:00:00+00:00
ARBUSDT,0.5047,0.5065,0.5018,0.5045,246772.3017,2024-11-02 20:00:00+00:00
ARBUSDT,0.5045,0.5055,0.474,0.4874,3137721.1899,2024-11-03 00:00:00+00:00
ARBUSDT,0.4874,0.493,0.4861,0.4875,755898.9364,2024-11-03 04:00:00+00:00
ARBUSDT,0.4875,0.4886,0.4778,0.4787,1214823.3487,2024-11-03 08:00:00+00:00
ARBUSDT,0.4787,0.4812,0.4606,0.4743,3467500.8091,2024-11-03 12:00:00+00:00
ARBUSDT,0.4743,0.4809,0.4709,0.4806,1037060.8137,2024-11-03 16:00:00+00:00
ARBUSDT,0.4806,0.4862,0.4787,0.4821,525088.6005,2024-11-03 20:00:00+00:00
ARBUSDT,0.4821,0.4917,0.4768,0.4858,659548.2643,2024-11-04 00:00:00+00:00
ARBUSDT,0.4858,0.4901,0.4801,0.4808,491729.7739,2024-11-04 04:00:00+00:00
ARBUSDT,0.4808,0.4892,0.4771,0.4881,1002456.3251,2024-11-04 08:00:00+00:00
ARBUSDT,0.4881,0.4911,0.4779,0.4793,969749.9449,2024-11-04 12:00:00+00:00
ARBUSDT,0.4793,0.4803,0.4715,0.4776,934573.0485,2024-11-04 16:00:00+00:00
ARBUSDT,0.4776,0.4776,0.4597,0.4732,1664564.1909,2024-11-04 20:00:00+00:00
ARBUSDT,0.4732,0.4796,0.4726,0.4786,711468.2211,2024-11-05 00:00:00+00:00
ARBUSDT,0.4786,0.4829,0.478,0.4814,607560.241,2024-11-05 04:00:00+00:00
