symbol,open,high,low,close,volume,ts
SOLUSDT,209.8,210.67,208.87,209.02,13584,2024-11-15 03:30:00+00:00
SOLUSDT,209.02,209.1,206.6,207.27,19997.68,2024-11-15 04:00:00+00:00
SOLUSDT,207.27,207.4,204.48,205.86,23972.41,2024-11-15 04:30:00+00:00
SOLUSDT,205.86,207.71,204.95,207.58,14170.58,2024-11-15 05:00:00+00:00
SOLUSDT,207.58,208.68,207.37,208.52,8497.69,2024-11-15 05:30:00+00:00
SOLUSDT,208.52,210.32,208.46,209.66,8623.59,2024-11-15 06:00:00+00:00
SOLUSDT,209.66,210.42,208.62,209.89,9871.77,2024-11-15 06:30:00+00:00
SOLUSDT,209.89,210.66,209.56,210.28,9417.25,2024-11-15 07:00:00+00:00
SOLUSDT,210.28,210.35,209.17,209.18,8140.49,2024-11-15 07:30:00+00:00
SOLUSDT,209.18,209.95,207.82,208.97,11969.32,2024-11-15 08:00:00+00:00
SOLUSDT,208.97,211.36,208.94,211.32,12268.23,2024-11-15 08:30:00+00:00
SOLUSDT,211.32,213.44,211.01,213.05,19278.71,2024-11-15 09:00:00+00:00
SOLUSDT,213.05,213.44,212.42,213.06,11824.21,2024-11-15 09:30:00+00:00
SOLUSDT,213.06,213.89,212.41,213.77,9193.98,2024-11-15 10:00:00+00:00
SOLUSDT,213.77,213.83,212.95,213.39,7200.76,2024-11-15 10:30:00+00:00
SOLUSDT,213.39,213.5,212.25,212.67,7075.32,2024-11-15 11:00:00+00:00
SOLUSDT,212.67,213.7,212.61,213.58,8452.95,2024-11-15 11:30:00+00:00
SOLUSDT,213.58,215.13,212.94,213.78,19022.86,2024-11-15 12:00:00+00:00
SOLUSDT,213.78,214.61,212.76,213.99,12175.06,2024-11-15 12:30:00+00:00
SOLUSDT,213.99,214.97,213.27,213.88,13765.06,2024-11-15 13:00:00+00:00
SOLUSDT,213.88,214.97,213.2,214.73,12674.37,2024-11-15 13:30:00+00:00
SOLUSDT,214.73,215.33,212.32,212.63,18019.3,2024-11-15 14:00:00+00:00
SOLUSDT,212.63,213.46,210.21,211.28,27362.01,2024-11-15 14:30:00+00:00
SOLUSDT,211.28,211.29,207.48,208.65,30931.66,2024-11-15 15:00:00+00:00
SOLUSDT,208.65,209,206.72,208.3,21266.47,2024-11-15 15:30:00+00:00
SOLUSDT,208.3,211.3,208.11,211.27,18665.38,2024-11-15 16:00:00+00:00
SOLUSDT,211.27,211.33,208.04,209.6,12930.89,2024-11-15 16:30:00+00:00
SOLUSDT,209.6,212.41,209.29,211.03,11972.01,2024-11-15 17:00:00+00:00
SOLUSDT,211.03,212.45,210.19,210.8,10614.17,2024-11-15 17:30:00+00:00
SOLUSDT,210.8,211.4,208.98,209.98,8980.31,2024-11-15 18:00:00+00:00
SOLUSDT,209.98,211,209.82,210.64,9135.89,2024-11-15 18:30:00+00:00
SOLUSDT,210.64,211.73,210.35,211.33,5659.19,2024-11-15 19:00:00+00:00
SOLUSDT,211.33,213.51,211.2,212.34,15991.44,2024-11-15 19:30:00+00:00
SOLUSDT,212.34,215.14,212.25,214.46,14004.9,2024-11-15 20:00:00+00:00
SOLUSDT,214.46,215.99,213.61,215.99,12748.36,2024-11-15 20:30:00+00:00
SOLUSDT,215.99,218.86,215.53,218.41,22575.4,2024-11-15 21:00:00+00:00
SOLUSDT,218.41,219.36,217.51,218.74,21785.23,2024-11-15 21:30:00+00:00
SOLUSDT,218.74,219.46,217.86,218.68,11230.51,2024-11-15 22:00:00+00:00
SOLUSDT,218.68,219.64,217.54,218.23,10539.49,2024-11-15 22:30:00+00:00
SOLUSDT,218.23,220.45,218.12,219.33,21083.12,2024-11-15 23:00:00+00:00
SOLUSDT,219.33,219.6,218.28,218.45,12001.44,2024-11-15 23:30:00+00:00
SOLUSDT,218.45,218.55,215.88,216.02,16817.16,2024-11-16 00:00:00+00:00
SOLUSDT,216.02,217.49,215.98,217.04,11383.58,2024-11-16 00:30:00+00:00
SOLUSDT,217.04,218.49,216.95,218.26,8404.84,2024-11-16 01:00:00+00:00
SOLUSDT,218.26,218.95,217.85,218.42,8046.6,2024-11-16 01:30:00+00:00
SOLUSDT,218.42,219.54,218.1,219.22,10385.05,2024-11-16 02:00:00+00:00
SOLUSDT,219.22,219.93,218.72,218.84,8821.67,2024-11-16 02:30:00+00:00
SOLUSDT,218.84,220.81,218.65,220.69,10498.55,2024-11-16 03:00:00+00:00
SOLUSDT,220.69,221.6,219.76,221.35,13419.15,2024-11-16 03:30:00+00:00
SOLUSDT,221.35,221.8,220.41,220.98,10711.28,2024-11-16 04:00:00+00:00
SOLUSDT,220.98,221.46,219.75,219.93,8679.47,2024-11-16 04:30:00+00:00
SOLUSDT,219.93,221.38,219.48,220.74,10894.44,2024-11-16 05:00:00+00:00
SOLUSDT,220.74,221.91,220.55,220.91,7842.38,2024-11-16 05:30:00+00:00
SOLUSDT,220.91,220.94,219.21,219.94,12294.83,2024-11-16 06:00:00+00:00
SOLUSDT,219.94,219.96,218.45,218.58,9448.44,2024-11-16 06:30:00+00:00
SOLUSDT,218.58,219.91,218.55,219.81,6356.07,2024-11-16 07:00:00+00:00
SOLUSDT,219.81,220.19,218.91,218.91,8717.4,2024-11-16 07:30:00+00:00
SOLUSDT,218.91,219.63,218.49,218.68,7538.75,2024-11-16 08:00:00+00:00
SOLUSDT,218.68,219.43,218.03,219.36,7688.25,2024-11-16 08:30:00+00:00
SOLUSDT,219.36,219.76,218.06,218.19,7447.58,2024-11-16 09:00:00+00:00
SOLUSDT,218.19,219.19,217.46,217.55,9981.3,2024-11-16 09:30:00+00:00
SOLUSDT,217.55,218.66,217.29,218.56,7890.55,2024-11-16 10:00:00+00:00
SOLUSDT,218.56,219.07,218.07,218.42,8401.01,2024-11-16 10:30:00+00:00
